English,Polish,Spanish
rentals,wynajem,alquileres
sky-high,nieba,altísimo
mehta,Mehta,mehta
complacent,zadowolony z siebie,suficiente
undetectable,niewykrywalne,indetectable
throwin,wrzucić,lanzar en
bargains,okazje,gangas
westerns,Zachodu,Westerns
syne,Syne,syne
forbidding,groźny,amenazante
ingrate,niewdzięcznik,ingratar
cheerfully,radośnie,alegremente
sakai,Sakai,sakai
gruff,gburowaty,brusco
impersonation,personifikacja,interpretación
remover,zmywacz,agente de mudanzas
corinth,Korynt,corintio
usc,USC,USC
infancy,dzieciństwo,infancia
folders,lornetka składana,carpetas
ungodly,bezbożny,impío
tarantula,tarantula,tarántula
uneventful,monotonny,sin acontecimientos notables
somali,Somali,somalí
opposes,sprzeciwiają się,opuesto
este,Este,estre
nui,Nui,nui
holi,Holi,holi
tomoko,Tomoko,tomo
marr,Marr,matriz
fittings,armatura,guarniciones
buckled,zapięte,abrochado
cordoba,Cordoba,Córdoba
emporium,emporium,emporio
stay-at-home,Zostań w domu,Quédate en casa
phosphorus,fosfor,fósforo
vii,VII,VII
authorisation,upoważnienie,autorización
forts,Forty,fortalezas
medea,Medea,Medea
smithereens,drobne kawałki,añicos
dewitt,DeWitt,dewitt
bookkeeping,księgowość,teneduría de libros
byers,Byers,byers
ashe,Ashe,cargar
assessing,ocena,evaluación
nie,Nie,nie
coventry,Coventry,coventry
renovate,odnawiać,renovar
dirtier,Brudniejszy,más sucio
mere,sam,mero
sucky,Sucky,tímido
biking,rower,ciclismo
quadruple,poczwórny,cuadruplicar
wasabi,Wasabi,wasabi
hines,Hines,hino
halsey,Halsey,halsey
legitimately,legalnie,legítimamente
freudian,freudowski,freudiano
tromaville,Tromaville,tromaville
stagger,chwiać się na nogach,tambalear
overpass,wiadukt,paso superior
honduras,Honduras,Honduras
schumann,Schumann,schumann
depositions,zeznania,depósitos
cragen,Cragen,cargar
ionger,Ionger,ionger
flay,łupić,despellejar
jos,Jos,jos
lido,lido,piscina
radium,rad,radio
swill,lura,bazofia
interplanetary,międzyplanetarny,interplanetario
eugh,eugh,eugh
achmed,Achmed,holgazado
unhinged,wytrącony z równowagi,desquiciado
bassam,Bassam,bassam
mins,min,mínimos
xie,Xie,xie
substantially,w zasadzie,sustancialmente
uhura,Uhura,uhura
hickory,amerykański orzech biały,nuez dura
pancreatic,Pancreatic,pancreático
chalmers,Chalmers,chalmers
iou,Iou,IOU
baal,Baal,baal
concubines,konkubiny,concubinas
cease-fire,zawieszenie broni,alto el fuego
shrug,wzruszać ramionami,encogimiento de hombros
toma,Toma,toma
arkham,Arkham,Arkham
reptilian,gad,reptil
lombardo,Lombardo,lombardo
hard-boiled,ugotowane na twardo,duro
shirtless,Półnagi,sin camisa
laughin,śmiech,reír
whistled,gwizdał,silbado
navigating,żeglujący,navegación
viet,Wiet,Viet
half-wit,Walka,bobo
chandni,Chandni,chandni
allotted,asygnowany,asignado
life-form,forma życia,forma de vida
impregnable,nie do zdobycia,inexpugnable
strewn,Utwane,esparcido
swerve,zboczenie,viraje
innovations,innowacje,innovación
massacres,masakry,masacres
kudo,Kudo,kudo
descartes,Kartezjusz,descartes
wordsworth,Wordsworth,Wordsworth
alastair,Alastair,alastair
rawlings,Rawlings,pisos
auditor,rewident księgowy,auditor
albie,Albie,Albie
checkered,w kratkę,a cuadros
bord1.5,Bord1.5,Bord1.5
dorado,Dorado,dorado
puffing,dmuchanie,hinchazón
contusion,stłuczenie,contusión
hounded,Hounded,perseguido
abject,nikczemny,abyecto
medevac,Medevac,Medevac
economies,gospodarki,economías
trampling,deptanie,pisoteo
handouts,ulotki,folletos
scabs,strup,costras
ailments,dolegliwości,dolencias
straitjacket,kaftan bezpieczeństwa,camisa de fuerza
dumbledore,chrabąszcz,Dumbledore
derailed,wykolejeni,descarrilado
selfies,selfiki,selfies
intolerance,nietolerancja,intolerancia
haddock,plamiak,eglefino
bleached,Bielony,blanqueado
digested,strawiony,asimilado
thanos,Thanos,Thanos
vanderbilt,Vanderbilt,vanderbilt
unintentionally,nieumyślnie,involuntariamente
razors,brzytwy,maquinillas
clump,kępa,grupo
poon,Poon,poon
ilona,Ilona,ilona
knut,Knut,knut
monasteries,klasztory,monasterios
in-depth,dogłębnie,en profundidad
stockade,palisada,estacada
proust,Proust,sobra
lucrecia,Lucrecia,Lucrecia
barret,biret,barret
convulsions,konwulsje,convulsiones
sunbathing,opalanie się,broncearse
fixtures,oprawy,accesorios
undercooked,niedogotowany,medio crudo
flemming,Flemming,flemero
sharky,Sharky,tiburón
sawed,przepiłowany,aserrado
yugo,Yugo,Yugo
quartermaster,kwatermistrz,oficial de intendencia
stand-in,Stand-in,estar en
khaki,khaki,caqui
hur,Hur,hurto
apathy,apatia,apatía
embolism,embolizm,embolia
dignitaries,Dygnitarze,dignatarios
starscream,Starscream,Starscream
panorama,panorama,panorama
ricki,Ricki,ricki
regimental,pułkowy,del regimiento
aint,Nie,no
deploying,wdrażanie,despliegue
oceanic,oceaniczny,oceánico
magnate,magnat,magnate
mongo,Mongo,mongo
synth,syntezator,sintetizador
mong,Mong,montaña
salma,Salma,salma
sprays,Spray,aerosoles
labrador,Labrador,Labrador
seashore,pobrzeże,costa
collusion,zmowa,colusión
holbrook,Holbrook,Holbrook
detainees,zatrzymani,detenidos
lowlifes,Lowlifes,livianos
mishima,Mishima,Mishima
pollute,zanieczyszczać,contaminar
complicit,Whicium,cómplice
thirdly,po trzecie,en tercer lugar
horowitz,Horowitz,horwititz
quarrelling,kłótnie,disputas
orsini,Orsini,orsini
god-awful,"Boże, okropne",Dios
overstepped,Overstepped,sobrepasado
firework,sztuczne ognie,Fuegos artificiales
snipe,bekas,agachadiza
retriever,aporter,perdiguero
cleanly,czysty,limpiamente
vizier,wezyr,visir
10-x,10-x,10-x
fizzy,gazowany,gaseoso
unafraid,nieustraszony,sin miedo
jinn,Jinn,jinn
prenatal,prenatalny,prenatal
waver,chwiać się,vacilar
pianos,fortepiany,pianos
badgers,Borsuki,badgers
untrained,niedoświadczony,inexperto
naka,Naka,naka
eighties,osiemdziesiąte,ochenta
lilah,Lilah,lilah
sadako,Sadako,sadako
r.j.,R.J.,R.J.
carpe,carpe,carpa
handlers,Handlery,manejadores
mee,Mee,mee
at-,Na-,en-
entails,pociąga za sobą,implica
gilliam,Gilliam,gilliam
wildebeest,gnu,ñu
ulises,Ulises,Ulises
fiind,Fiind,fiind
teaspoon,łyżeczka,cucharilla
splutters,Rozklęty,strutters
reunions,zjazdy,reuniones
statesman,polityk,estadista
chupacabra,Chupacabra,chupacabras
father-,ojciec-,padre-
caplan,Caplan,caplán
incorrectly,nieprawidłowo,incorrectamente
iaw,IAW,IAW
woodpecker,dzięcioł,pájaro carpintero
groundwork,podkład,trabajo preparatorio
delicacies,bakalie,delicias
kar,Kar,kar
pineapples,ananasy,piñas
cultivating,uprawiający,cultivación
commented,skomentował,comentado
cufflinks,spinki do mankietów,gemelos
composers,kompozytorzy,compositores
onedin,Onedin,onedin
dreamin,Dreamin,soñar
amenities,udogodnienia,comodidades
snooty,snobistyczny,presumido
cosima,Cosima,cosima
hilly,pagórkowaty,montañoso
whaling,wielorybnictwo,ballenero
foiled,udaremniony,frustrado
vectors,wektory,vectores
mckinney,McKinney,McKinney
thérèse,Thérèse,térèse
slowest,Najwolniejszy,el más lento
decoded,dekodowane,descifrado
turbines,turbiny,turbinas
debatable,sporny,discutible
rhinos,Nosorożce,rinocerontes
repo,Repo,repositorio
cheri,ukochana,cherí
unopened,nieotwarty,sin abrir
evo,Evo,evo
decompression,dekompresja,descompresión
hydrated,nawilżone,hidratado
pitchers,miotacze,lanzadores
garb,strój,traje
versace,Versace,versza
triton,tryton,tritón
vichy,Vichy,Vichy
echoed,powtórzył,resonado
infused,Infused,infundido
tendon,ścięgno,tendón
bubblegum,guma balonowa,chicle
norms,normy,normas
hashish,haszysz,hachís
tutorial,instruktaż,tutorial
ringside,pierwsze rzędy widowni,primera fila
macon,Macon,Macon
inequality,nierówność,desigualdad
tarnish,plamić,deslustre
browse,przeglądać,navegar
mourned,opłakany,llorado
acclaimed,uznane,aclamado
cameramen,kamerzysta,camarógrafo
humongous,Humoncible,enorme
activates,aktywuje,activado
skanky,Skanky,skanky
vassal,wasal,vasallo
haitian,haitański,haitiano
hanzo,Hanzo,Hanzo
indirect,pośredni,indirecto
to-to,To-to,a
socializing,kontakty towarzyskie,socialización
shilla,Shilla,shilla
trackers,Trackery,rastreadores
scranton,Scranton,scranton
stifle,zdusić,sofocar
stunk,Stunk,pisotón
magistrates,sędziowie,magistrados
wehrmacht,Wehrmacht,wehrmacht
provost,rektor,preboste
vacated,zwolniony,desocupado
underprivileged,mający mniejsze prawa,desamparado
spurt,zryw,esfuerzo supremo
ent,ent,enterarse
mayflower,Mayflower,muguete
kurtz,Kurtz,kurtz
kepner,Kepner,kepner
zod,Zod,zod
embezzling,Sprzeniewierzenie,malversación
factual,faktyczny,factual
dieting,dieta,dieta
girard,Girard,girard
gruel,kleik,engrudo
deedee,Deedee,holgazán
brows,brwi,cejas
kayak,kajak,kayac
dismissing,Odrzucanie,despido
good,Dobry,bien
kaji,Kaji,kaji
giza,Giza,giza
quahog,Quahog,quahog
tricycle,trycykl,triciclo
nomadic,koczowniczy,nómada
outsmarted,przechytrzony,burlado
adrienne,Adrienne,adrienne
ottawa,Ottawa,Ottawa
rotor,wirnik,rotor
kashi,Kashi,kashi
s-her-name,S-her-nazwa,s-Her-nombre
lainey,Lainey,laína
skulking,Skulking,salto
fracking,szczelinowanie,fracking
syringes,strzykawki,jeringas
chuy,Chuy,chupa
marquee,duży namiot,marquesina
candor,szczerość,candor
buh,Buh,buh
anti-semitic,anty semickie,antisemita
timbers,drewno,maderas
argyle,Argyle,Argyle
nevins,Nevins,Nevins
reputed,rzekomy,presunto
odious,wstrętny,odioso
cartier,Cartier,cartier
cults,kulty,culto
carlitos,Carlitos,carlitos
mita,Mita,mita
heartbreaker,Breaker,rompecorazones
exclusion,wykluczenie,exclusión
bunter,Bunter,bunter
centigrade,stustopniowy,centígrado
billionaires,miliarderzy,multimillonarios
soups,zupy,sopas
scandinavia,Skandynawia,Escandinavia
isn`t,Isn,no
sunita,Sunita,sunita
loveless,bez miłości,Desamor
radiance,blask,resplandor
jabbering,Jabbering,chillido
joplin,Joplin,joplín
rummage,grzebać,hurgar
banishment,wygnanie,destierro
tories,Torysi,conservas
havent,nie,no ha estado
abscess,ropień,absceso
malaysian,Malezja,malasio
playlist,Lista odtwarzania,lista de reproducción
scoured,Poszukiwany,flojo
lino,linoleum,lino
grisha,Grisha,Grisha
gawking,gapią się,estirado
lures,przynęty,desechos
endeavors,przedsięwzięcia,esfuerzos
flees,ucieka,fluida
rebuttal,obalenie,refutación
runes,Runy,runas
terminally,końcowo,terminalmente
americano,Americano,americano
doze,drzemać,dormitar
shue,Shue,ceñarse
wily,przebiegły,astuto
longo,Longo,longo
drifts,dryfy,deriva
haddie,Haddie,haz
draped,Urocze,drapeado
ah-choo,ah-choo,ah-choo
outset,początek,comienzo
inoperable,nieoperacyjny,inoperable
mountaintop,szczyt góry,cima de la montaña
leith,Leith,leith
skaters,łyżwiarze,patinadores
subtly,subtelnie,sutilmente
cornflakes,płatki kukurydziane,copos de maíz
ivanovna,Ivanovna,ivanovna
huzzah,Huzzah,huzzah
backpacks,plecaki,mochilas
narcisse,narcisse,narcisos
hideyoshi,Hideyoshi,escondoshi
ogata,Ogata,ogata
bizarro,Bizarro,bizarro
chaka,Chaka,chaká
place-,miejsce-,lugar-
fujiko,Fujiko,fujiko
digitally,cyfrowo,digitalmente
anecdote,anegdota,anécdota
garages,garaże,garajes
arroyo,Arroyo,cauce seco de un río
how-how,jak jak,cómo cómo
tryout,spróbować,probar
overseer,nadzorca,capataz
emigrated,wyemigrowane,emigrado
shima,Shima,shima
steadfast,niezłomny,firme
intermittent,przerywany,intermitente
whopper,Whopper,embuste
tchaikovsky,Tchaikovsky,tchaikovsky
malaya,Malaya,malaya
sta,Sta,sta
wheelhouse,sterówka,timonera
kc,kc,KC
unaffected,nieporuszony,inafectado
clarification,wyjaśnienie,aclaración
hardin,Hardin,duro
impunity,bezkarność,impunidad
iz,Iz,IZ
opportunist,oportunista,oportunista
conspiracies,spiski,conspiraciones
marxist,marksista,marxista
steadman,Steadman,semante
abandons,porzuca,abandonarse
renko,Renko,renko
aerospace,Aerospace,aeroespacial
covington,Covington,Covington
marcelo,Marcelo,Marcelo
fabricate,wytwarzać,fabricar
seaver,Seaver,marina
disinfect,dezynfekować,desinfectar
refute,obalić,refutar
ftl,ftl,FTL
paving,bruk,pavimentación
potus,Potus,puto
tabby,mora,atigrado
sweated,pocany,sudado
orwell,Orwell,orwell
subbu,subbu,subbu
parkway,Parkway,rótula
clennam,Clennam,clenario
guangzhou,Guangzhou,Guangzhou
ricochet,rykoszet,rebotar
autopsies,SUTOSSIE,autopsias
responders,respondenci,respondedores
rachid,Rachid,ráquido
ymca,YMCA,YMCA
coates,Coates,bocina
rescheduled,Zmieniony,reprogramado
tesco,Tesco,tesco
blud,Blud,blud
derail,wykoleić,hacer descarrilar
lifespan,długość życia,esperanza de vida
monsanto,Monsanto,monsanto
incoherent,niespójny,incoherente
beto,być,beto
wriggle,kręcenie się,meneo
theorem,twierdzenie,teorema
circumference,obwód,circunferencia
albanians,Albańczycy,albaneses
pacify,uspokajać,pacificar
sleepers,Śledzenia,traviesas
dunce,nieuk,burro
kind-hearted,życzliwy,de buen corazón
blasphemous,bluźnierczy,blasfemo
bolivian,boliwijski,boliviano
ex-wives,Były żony,ex esposas
hervé,Hervé,hábil
blur1,Blur1,blur1
preachers,kaznodzieje,predicadores
excessively,nadmiernie,excesivamente
cha-cha,Cha-cha,cha-cha
spew,rzygać,arrojar
unzip,rozsunąć suwak,abrir la cremallera
dictating,dyktowanie,dictando
drier,osuszacz,secadora
nanda,Nanda,Nanda
symbolize,symbolizować,simbolizar
hunches,Przeszwyty,arqueadas
christi,Christi,Christi
oriented,zorientowane,orientado
prohibit,zakazać,prohibir
retraction,wycofanie,retracción
sceptical,sceptyczny,escéptico
turtleneck,golf,suéter tipo con cuello de tortuga
payable,płatny,pagadero
maisie,Maisie,maisie
defile,zbezcześcić,desfiladero
unbutton,rozpiąć,desabotonar
chimera,chimera,quimera
depress,deprymować,deprimir
meeks,Meeks,meeks
mah,Mah,mah
buries,Burie,entierro
breech,ubierać w spodenki,recámara
oughtn,Powinien,Debe
mullins,Mullins,mullins
paralyze,sparaliżować,paralizar
bhanu,Bhanu,bhanu
landis,landis,landis
isolating,izolacyjny,aislado
abiding,trwały,permanencia
cowgirl,kowbojka,vaquera
too-,zbyt-,también-
weakens,osłabia,debilitar
ornery,prostacki,desagradable
ahhhhh,ahhhhh,ahhhhh
lithuanian,litewski,lituano
sterilize,sterylizować,esterilizar
knelt,Uklękanie,arrojar
fatten,dokarmiać,engordar
arid,jałowy,árido
gaffer,staruszek,capataz
decimal,dziesiętny,decimal
clarified,Wyjaśnione,aclarado
ungh,ungh,desglosar
greco,Greco,Greco
kinship,pokrewieństwo,parentesco
desolation,spustoszenie,soledad
prouder,Prouder,más liso
ines,Ines,ines
convened,Zwołano,convocado
kaede,Kaede,kaede
beckons,przywołuje,pico
haggard,mizerny,demacrado
smiths,Smiths,espíritu
ensures,zapewnia,asegurar
dou,czy ty,dou
riya,Riya,riya
ishida,Ishida,Ishida
notches,Notches,muescas
blowjobs,loda,mamadas
esophagus,przełyk,esófago
baez,Baez,baáz
fanning,Fanning,abanico
pythagoras,Pitagoras,Pitágoras
epinephrine,epinefryna,epinefrina
antiseptic,antyseptyczny,antiséptico
hadar,Hadar,hadar
tapeworm,tasiemiec,tenia
redford,Redford,Redford
scythe,kosa,guadaña
escalation,eskalacja,escalada
kol,Kol,kol
long-time,długi czas,largo tiempo
educator,pedagog,educador
mantel,graba,manto de chimenea
revue,rewia,revista
jour,Jour,hacer
safes,sejfy,cajas fuertes
muay,Muay,muy
rerun,ponowne odtworzenie,repetición
royally,Royally,magníficamente
witsec,Witsec,Witsec
demelza,Demelza,demelza
northbound,kierujący się na północ,dirección norte
cleverer,sprytny,más inteligente
ramadan,Ramadan,Ramadán
hard-ass,Hard-Ass,duro
paddock,padok,paddock
anaconda,anakonda,anaconda
discontinued,przerwane,interrumpido
punk-ass,Punk-Ass,punk
straightening,prostowanie,enderezado
argumentative,rzeczowy,discutidor
mauser,Mauser,máuser
randi,Randi,randi
wallis,Wallis,Wallis
carpentry,stolarstwo,carpintería
vaccination,szczepionka,vacunación
preying,żeruj,prolon
fsb,FSB,FSB
wedgie,Wedgie,cuña
disarray,nieład,desorden
bullhorn,Bullhorn,megáfono
crumbles,kruszy się,muescas
breaches,naruszenia,infracciones
arn,Arn,arn
corpsman,Korpus,cuerpo
nelle,Nelle,nelle
ennis,ennis,ennis
indu,indu,induamente
jc,JC,JC
robespierre,Robespierre,robusto
cranston,Cranston,Cranston
dissuade,odwieść,disuadir
imp,chochlik,diablillo
hsiao,Hsiao,hsiao
kltt,Kltt,kltt
buzzards,Buzzardów,buitres
grooms,Mary stajenne,novios
grinch,Grinch,rubor
mma,MMA,MMA
kendal,Kendal,kendal
coolant,płyn chłodzący,refrigerante
fauna,fauna,fauna
artichoke,karczoch,alcachofa
chemists,Apteka,farmacia
kipper,facet,arenque ahumado
overlord,"Pan, władca",señor
mesmerized,zahipnotyzowany,hipnotizado
pretenses,pozew,pretensiones
semantics,semantyka,semántica
silverman,Silverman,Silverman
snobs,Snobowie,esnobs
colord,Colord,colordina
c.o.d.,dorsz.,bacalao.
layton,Layton,Layton
leavenworth,Leavenworth,Leavenworth
butyou,ale ty,pero tu
sloshing,Sloshing,chapoteo
sparking,iskrzenie,chispas
texan,Texan,texano
silences,Cisza,silencios
recalling,przypominający,recordando
negatively,ujemnie,negativamente
jett,Jett,brillo
camouflaged,zakamuflowane,camuflado
joao,Joao,joao
salvaged,uratowany,recuperado
9mm,9 mm,9 mm
fulcrum,punkt podparcia,fulcro
booklet,broszura,folleto
red-haired,czerwonowłosy,Pelirrojo
splint,szyna,entablillar
ueda,Ueda,ueda
aberration,aberracja,aberración
trapdoor,klapa w podłodze,trampilla
abundantly,obficie,abundantemente
vexed,zdenerwowany,enfadado
rhydian,Rhydian,rydio
oaths,Przysięgi,juramentos
slink,poroniony płód,escabullirse
christos,Christos,Christos
nair,Nair,nair
u-boats,U-łodzie,U-Boats
sensuality,zmysłowość,sensualidad
distantly,dymno,de lejos
flavored,przyprawiony,sazonado
appreciating,doceniający,aprecio
kostya,Kostya,kostya
oncology,onkologia,oncología
influencing,wpływające,influyente
more-,więcej-,más-
ronan,Ronan,ronan
joes,Joes,Joes
roan,deresz,ruano
battleships,Pancerniki,Buque de guerra
boned,Boned,sin espinas
frayed,postrzępiony,raído
h.g.,H.G.,H.G.
mott,Mott,mocoso
softness,miękkość,blandura
aries,baran,Aries
occupies,zajmuje,ocupación
govinda,Govinda,Govinda
mummified,Zmumifikowane,momificado
bustling,gwar,bullicioso
rewritten,przepisany,reescrito
exhibiting,wystawa,exhibición
putter,miotacz,holgazanear
canaan,Canaan,Canaán
pk,Pk,paquete
calgary,Calgary,calgary
pocketbook,portfel,cartera
yadav,Yadav,yadav
reefer,aspirant w marynarce,chaquetón
uppity,zarozumiały,engreído
dens,normy,guarnición
hachi,Hachi,Hachi
retreats,rekolekcje,retiros
send-off,odesłać,enviar
innocently,niewinnie,inocentemente
circulated,krążył,circulado
akshay,Akshay,akshay
partnered,partnerstwo,asociado
latina,Latina,latina
chickie,Chickie,pollito
yachts,jachty,yates
abhay,Abhay,abhay
distilled,destylowany,destilado
geller,Geller,geller
cicadas,cykady,cigarras
technicolor,Technicolor,tecnicolor
tsa,TSA,TSA
anemic,anemiczny,anémico
kubrick,Kubrick,kubrick
globes,Globes,globos
pinging,pinging,pinging
four-year-old,czteroletni,de cuatro años
clammy,lepki,pegajoso
modem,modem,módem
dismay,przerażenie,consternación
frosted,oszroniony,escarchado
gators,Gators,gatrones
amaro,Amaro,amaro
jacksonville,Jacksonville,Jacksonville
masaki,Masaki,masaki
didst,zrobił,ruidón
mackie,Mackie,mackie
clarisse,Clarisse,clarisse
helle,Helle,enchufar
russel,Russel,ruso
spawned,zrodził się,generado
saxena,Saxena,saxena
perceptions,postrzeganie,percepciones
winnipeg,Winnipeg,Winnipeg
varying,różni się,variar
okay-,Dobra-,bueno-
frenchie,francuski,francés
thwart,udaremniać,frustrar
congee,Congee,congee
gabbar,Gabbar,gabbar
nicking,Nicking,mordaz
wonderin,Wonderin,maravilloso
newspaperman,gazeta,periodista
carjacking,zużycie,robo de autos
availability,dostępność,disponibilidad
couches,kanapy,sofás
dawns,Dawns,amanecer
utw,UTW,UTW
rojas,Rojas,Rojas
two-timing,dwukrotność,de dos tiempos
indecisive,niezdecydowany,indeciso
fatma,Fatma,fatma
instigated,zainicjowane,instigado
paining,ból,doloroso
thoracic,klatka piersiowa,torácico
kms,km,kms
sr,sr,sr
promo,promo,promoción
murugan,Murugan,Murugan
cleanest,Najczystsze,más limpio
categorically,kategorycznie,categóricamente
chevron,szewron,cheurón
distributors,Dystrybutorzy,distribuidores
windpipe,tchawica,tráquea
run-of-the-mill,Run-of-the-Mill,el típico
kurdish,kurdyjski,kurdo
clichés,klisze,clichés
plowed,zaorany,arado
jeanine,Jeanine,jeanina
intents,intencje,intentos
wormholes,tunele,agujeros
overpowering,przytłaczający,abrumador
scuse,Scuse,escanear
ehm,ehm,ehm
godsey,Godsey,Godsey
wheeling,Wheeling,rueda
daph,Daph,Daph
grandmaster,Arcymistrz,gran maestro
interpreting,interpretacja,interpretación
aga,aga,aga
anka,Anka,anka
submitting,przedkładający,sumisión
bassett,Bassett,Bassett
ladle,chochla,cucharón
braying,ryczenie,rebuzno
jeeva,Jeeva,jeeva
savory,cząber,sabroso
zips,zamki,cremalleras
qur,Koran,coro
disprove,obalić,refutar
xun,Xun,xun
barba,Barba,barba
pleasantries,grzeczności,bromas
sentimentality,sentymentalizm,sentimentalismo
cs,Cs,CS
precincts,okolice miasta,alrededores
pascoe,Pascoe,pasta
lilli,Lilli,lilli
shamrock,koniczyna,trébol
toothpicks,wykałaczki,palillo de dientes
tubing,rury,tubería
diagrams,diagramy,diagramas
shivani,Shivani,Shivani
sark,Sark,sark
allocated,asygnowany,asignado
clegg,Clegg,ceñido
degenerates,degeneruje,degeneración
pollard,otręby,árbol desmochado
overheating,przegrzanie,calentamiento excesivo
liberace,Liberace,liberería
emts,EMT,EMTS
presidente,Prezydent,presidente
steppe,step,estepa
alisha,Alisha,Alisha
three-,trzy-,tres-
neighborly,dobrosąsiedzki,amistoso
half-baked,na wpół upieczony,a medias
sorenson,Sorenson,sorensón
winfield,Winfield,Winfield
vaseline,wazelina,vaselina
deluge,potop,diluvio
leonora,Leonora,Leonora
foolin,Głupi,tonto
disconcerting,niepokojący,desconcertante
three-hour,trzy godziny,de tres horas
incumbent,beneficjant,titular
amplify,wzmacniać,amplificar
riko,Riko,Riko
payin,Payin,pagar en
morel,smardz,muesca
arlen,Arlen,Arlen
pucker,fałdować,fruncido
potholes,dziury,baches
conjured,wyczarowany,conjurado
denominator,mianownik,denominador
succulent,soczysty,suculento
buckles,klamry,hebillas
expenditure,wydatek,gasto
solis,Solis,solís
speedboat,łódź motorowa,lancha rápida
arriba,Arriba,arriba
kebabs,Kebab,kebabs
buddhists,buddyści,budistas
hygienic,higieniczny,higiénico
th-this,this this,th-este
galloway,Galloway,Galloway
recalls,przypomina,retiros
dartmouth,Dartmouth,dartmouth
unscheduled,Nieplanowany,no programado
clench,zaciskać,apretar
confidant,powiernik,confidente
ratting,Rating,ratero
bravado,zuchwałość,bravata
inbred,wsobny,innato
garvin,Garvin,garra
breezes,Breezes,brisa
3chffffff,3chffffff,3chffffff
astaire,Astaire,astaire
ofit,Ofit,OFIT
tibbs,Tibbs,tibbs
waived,zwolniony,renalizado
6-year-old,6-latek,De 6 años
three-year,trzy lata,Tres años
katrin,Katrin,katrina
paralegal,Paralegal,paralegal
irrefutable,niezbity,irrefutable
larva,larwa,larva
lymph,limfa,linfa
illegals,Nielegalne,ilegal
deteriorate,pogarszać się,deteriorarse
scrumptious,byczy,de chuparse los dedos
acquit,uniewinnić,absolver
capisce,capisce,capistro
crimea,Krym,Crimea
sanctimonious,świętoszkowaty,mojigato
gerhardt,Gerhardt,gerhardt
antiquated,przestarzały,anticuado
captors,Porozumiejący,captores
babbles,bełkot,balbucear
arabella,Arabella,Arabella
labors,trud,labores
cécile,Cécile,cécile
falafel,falafel,falafel
winces,Wince,acoplamiento
christoph,Christoph,christoph
statutes,Statuty,estatutos
excelsior,wełna drzewna,virutas de embalaje
emergence,powstanie,aparición
paused,Zatrzymany,detenido
catalan,kataloński,catalán
clotting,krzepnięcie,coagulación
cheol,Cheol,cheol
cb,CB,CB
simons,Simons,Simons
lillie,Lillie,Lillie
banco,Banco,banco
rr,RR,RR
skinhead,Skinhead,cabeza rapada
warpath,Warpath,warpata
pterodactyl,pterodaktyl,pterodáctilo
veils,welon,velo
subsidiary,pomocniczy,subsidiario
jubei,Jubei,jubo
outgrown,wyrastany,aturdido
provence,Prowansja,provención
clunk,Clunk,atascado
re-entry,ponownie wejść,reentrada
terminology,terminologia,terminología
had-,miał-,tenía-
surveying,badanie,topografía
upscale,ekskluzywne,escala
wifey,żona,esposa
colombians,Kolumbijczycy,colombianos
turnin,Turnin,girar
heave-ho,Have-ho,Tener que
foaming,pieniący się,espumoso
keystone,zwornik,piedra clave
bays,zatoki,laureles
confidently,ufnie,con confianza
piloting,sterowanie,pilotaje
outwit,podchodzić,burlar
kau,kau,kau
strengthening,wzmacniający,fortalecimiento
dn,Dn,dn
carnation,goździk,clavel
s.u.v.,S.U.V.,S.U.V.
complimented,komplementowane,complementado
discouraging,zniechęcający,desalentador
simona,Simona,simona
mvp,MVP,MVP
7-eleven,7 jedenaście,7 Eleven
custom-made,wytworzone na zamówienie,por encargo
marcela,Marcela,marcela
cinder,żużel,ceniza
comparative,porównawczy,comparativo
stepbrother,przyrodni brat,hermanastro
gyro,Gyro,girosía
dissolves,Rozpuszcza się,se disuelve
dribbling,dryblowanie,regate
karachi,Karaczi,karachi
majored,specjalizował się,especializado
kandahar,Kandahar,Kandahar
mustangs,Mustangi,mustangs
goblet,czara,copa
punchy,Błąd,con garra
servicing,serwisowanie,servicio
buren,Buren,burbuja
synch,synchronizacja,sincronizar
boku,Boku,boku
streisand,Streisand,streisand
surrenders,poddanie się,rescate
life-support,podtrzymywania życia,soporte vital
marginal,marginalny,marginal
farhad,Farhad,Farhad
tooting,totowanie,tooting
mozzie,Mozzie,mozzie
run-down,zniszczony,atropellar
minibar,mini-bar,minibar
addons,dodatki,complementos
trove,Trove,tesor
satisfies,satysfakcjonuje,satisfacer
doody,Dood,dudosa
jun.,Jun.,jun.
consolidate,konsolidować,consolidar
gearing,mechanizm napędowy,engranaje
breastfeeding,karmienie piersią,amamantamiento
accelerates,przyspiesza,acelerar
sargent,Sargent,sargento
jakarta,Djakarta,Jacarta
populace,pospólstwo,populacho
kota,Kota,kota
misfit,nieprzystosowany,inadaptado
wavering,chwiejny,vacilante
grating,krata,rejilla
romancing,Romancing,romance
fey,Fey,vidente
goingto,zamierzam,ir a
re-create,odtwarzać,recrear
ayako,Ayako,ayako
haemorrhage,krwotok,hemorragia
when-,Kiedy-,cuando-
spongebob,SpongeBob,Bob Esponja
ex-cop,Były cop,ex-CoP
circa,około,hacia
feckin,Feckin,feckin
billed,rozliczane,facturado
reminders,przypomnienia,recordatorios
milked,Dojezowane,ordeñado
criticise,krytykować,criticar
double-checked,sprawdzone dwukrotnie,doblemente verificado
minibus,Minibus,microbús
